angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,143.0
sum_dist_for_angle_15,143.0
sum_dist_for_angle_20,143.0
sum_dist_for_angle_25,143.0
sum_dist_for_angle_30,143.0
sum_dist_for_angle_35,143.0
sum_dist_for_angle_40,143.0
sum_dist_for_angle_45,143.0
sum_dist_for_angle_50,143.0
sum_dist_for_angle_55,143.0
sum_dist_for_angle_60,143.0
sum_dist_for_angle_65,143.0
sum_dist_for_angle_70,143.0
sum_dist_for_angle_75,143.0
sum_dist_for_angle_80,143.0
sum_dist_for_angle_85,143.0
sum_dist_for_angle_90,143.0
sum_dist_for_angle_95,143.0
sum_dist_for_angle_100,143.0
sum_dist_for_angle_105,143.0
sum_dist_for_angle_110,143.0
sum_dist_for_angle_115,143.0
sum_dist_for_angle_120,143.0
sum_dist_for_angle_125,143.0
sum_dist_for_angle_130,143.0
sum_dist_for_angle_135,143.0
sum_dist_for_angle_140,143.0
sum_dist_for_angle_145,143.0
sum_dist_for_angle_150,143.0
sum_dist_for_angle_155,143.0
sum_dist_for_angle_160,143.0
sum_dist_for_angle_165,143.0
sum_dist_for_angle_170,143.0
sum_dist_for_angle_175,143.0
sum_dist_for_angle_180,143.0
sum_dist_for_angle_185,143.0
sum_dist_for_angle_190,143.0
sum_dist_for_angle_195,143.0
sum_dist_for_angle_200,143.0
sum_dist_for_angle_205,143.0
sum_dist_for_angle_210,143.0
sum_dist_for_angle_215,143.0
sum_dist_for_angle_220,143.0
sum_dist_for_angle_225,143.0
sum_dist_for_angle_230,143.0
sum_dist_for_angle_235,156.0
sum_dist_for_angle_240,156.0
sum_dist_for_angle_245,156.0
sum_dist_for_angle_250,156.0
sum_dist_for_angle_255,156.0
sum_dist_for_angle_260,156.0
sum_dist_for_angle_265,156.0
sum_dist_for_angle_270,156.0
