angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,128.0
sum_dist_for_angle_15,128.0
sum_dist_for_angle_20,128.0
sum_dist_for_angle_25,128.0
sum_dist_for_angle_30,128.0
sum_dist_for_angle_35,128.0
sum_dist_for_angle_40,128.0
sum_dist_for_angle_45,128.0
sum_dist_for_angle_50,128.0
sum_dist_for_angle_55,128.0
sum_dist_for_angle_60,128.0
sum_dist_for_angle_65,128.0
sum_dist_for_angle_70,128.0
sum_dist_for_angle_75,128.0
sum_dist_for_angle_80,128.0
sum_dist_for_angle_85,128.0
sum_dist_for_angle_90,128.0
sum_dist_for_angle_95,128.0
sum_dist_for_angle_100,128.0
sum_dist_for_angle_105,128.0
sum_dist_for_angle_110,128.0
sum_dist_for_angle_115,128.0
